feature,feature_index,dtype_train,dtype_validation,persisted_in_train,persisted_in_validation,classification,availability_status,leakage_status,reason,source_evidence_count,source_files,source_signals
occupied_spaces_lag_1h,104,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_2h,105,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_3h,106,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_6h,107,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_12h,108,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_lag_1d,109,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_30m,110,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_1h,111,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_2h,112,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_3h,113,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_6h,114,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_12h,115,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
available_spaces_lag_1d,116,float64,float64,True,True,historical_lag,SAFE_IF_GENERATED_CAUSALLY,NO_CONFIRMED_LEAKAGE,"Feature name explicitly identifies a historical lag. Historical lag is temporally safe provided its source series is ordered by time and no future rows are used. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_1h,117,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_1h,118,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_1h,119,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_1h,120,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_1h,121,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_1h,122,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_1h,123,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_1h,124,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_1h,125,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_1h_available,126,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_2h,127,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_2h,128,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_2h,129,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_2h,130,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_2h,131,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_2h,132,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_2h,133,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_2h,134,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_2h,135,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_2h_available,136,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_3h,137,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_3h,138,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_3h,139,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_3h,140,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_3h,141,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_3h,142,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_3h,143,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_3h,144,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_3h,145,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_3h_available,146,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_6h,147,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_6h,148,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_6h,149,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_6h,150,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_6h,151,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_6h,152,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_6h,153,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_6h,154,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_6h,155,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_6h_available,156,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_12h,157,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_12h,158,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_12h,159,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_12h,160,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_12h,161,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_12h,162,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_12h,163,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_12h,164,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_12h,165,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_12h_available,166,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_mean_1d,167,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_std_1d,168,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_min_1d,169,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_max_1d,170,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_median_1d,171,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_trend_1d,172,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_count_1d,173,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_missing_1d,174,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_coverage_ratio_1d,175,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupancy_rate_roll_1d_available,176,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_mean_1h,177,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_std_1h,178,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_min_1h,179,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_max_1h,180,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_median_1h,181,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_trend_1h,182,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_count_1h,183,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_missing_1h,184,int64,int64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_coverage_ratio_1h,185,float64,float64,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
occupied_spaces_roll_1h_available,186,bool,bool,True,True,current_state,CURRENT_STATE_REVIEW,NO_CONFIRMED_LEAKAGE,"Feature represents current parking occupancy, availability, demand, or a rolling state derived from current operational observations. Current parking state may legitimately be available at prediction time, but the production information cutoff must be explicitly established. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
