feature_name,feature_family,production_status,dependency,availability_at_t,future_information_risk,target_reference_risk,source_evidence_count,source_files,rationale,required_production_documentation,recommended_action
demand_class_code,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_low_demand,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_moderate_demand,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_high_demand,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_very_high_demand,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
is_critical_demand,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
occupancy_rate_consistent,current_state,REQUIRES_REALTIME_SOURCE,CURRENT_OBSERVATION,CONDITIONAL,LOW_IF_CASUALLY_ALIGNED,NONE_IDENTIFIED,0,,Feature is derived from current parking state. It is valid for a T -> T+30m forecast only if the underlying observation is genuinely available at T and does not contain later information.,"Document source system, observation timestamp, ingestion latency, freshness SLA, maximum permitted feature age, and fallback behaviour.",REQUIRE_REALTIME_AVAILABILITY_CONTRACT
space_count_consistent,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
has_valid_capacity,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
has_valid_occupancy,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
has_negative_values,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
has_capacity_violation,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
has_consistency_issue,current_state,REQUIRES_DOCUMENTATION,UNRESOLVED_PRODUCTION_SOURCE,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,Static analysis could not conclusively establish the production-time source of this feature.,Identify the production source and demonstrate that the value is available at prediction timestamp T.,DOCUMENT_PRODUCTION_SOURCE_BEFORE_APPROVAL
occupancy_rate_lag_30m,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_6h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_12h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_lag_1d,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_30m,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_6h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_12h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupied_spaces_lag_1d,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_30m,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_6h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_12h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
available_spaces_lag_1d,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_mean_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_std_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_min_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_max_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_median_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_trend_1h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_count_1h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_missing_1h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_coverage_ratio_1h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_1h_available,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_mean_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_std_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_min_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_max_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_median_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_trend_2h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_count_2h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_missing_2h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_coverage_ratio_2h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_2h_available,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_mean_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_std_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_min_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_max_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_median_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_trend_3h,historical_lag,SAFE_HISTORICAL_IF_GENERATED_CAUSALLY,HISTORICAL_INFORMATION,CONDITIONAL,LOW_IF_CAUSALLY_GENERATED,NONE_IDENTIFIED,0,,Feature appears historical/lagged. It is suitable for production only if its generation guarantees that no observation after T is incorporated.,"Document lag/window definition, cutoff timestamp, timezone, missing-history behaviour, and guarantee that the window ends at or before T.",ALLOW_AFTER_CAUSAL_GENERATION_VERIFICATION
occupancy_rate_roll_count_3h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_missing_3h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_coverage_ratio_3h,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
occupancy_rate_roll_3h_available,other,REQUIRES_DOCUMENTATION,UNRESOLVED,UNKNOWN,UNKNOWN,NONE_IDENTIFIED,0,,"Feature could not be confidently classified as deterministic calendar, historical, or current-state from the available static contract.","Document the production source, timestamp semantics, refresh behaviour, and availability at prediction time.",DOCUMENT_BEFORE_PRODUCTION_APPROVAL
