feature,family,classification,prediction_time_status,confidence,current_state_dependency,source_fields,target_reference,future_reference,rolling_or_lag_reference,source_files,source_line_numbers,rationale,production_action
capacity_utilization,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"63, 125, 619, 647, 648, 682, 683, 684, 742, 818, 865, 1252, 1291, 1322, 1700, 1953","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
availability_rate,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"64, 126, 438, 623, 630, 635, 636, 638, 654, 655, 686, 687, 688, 741, 758, 759, 764, 780, 783, 789, 792, 866, 1253, 1292, 1295, 1297, 1305, 1307, 1323, 1682, 1925, 1941, 1942, 1951, 1964, 2007, 2017, 2104","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupied_ratio,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"65, 127, 630, 661, 662, 690, 691, 692, 867, 1254, 1293, 1324","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
available_ratio,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"66, 128, 637, 642, 668, 669, 694, 695, 696, 868, 1255, 1294, 1325","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
vacancy_ratio,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"67, 129, 641, 675, 676, 698, 699, 700, 869, 1256, 1295, 1326","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupancy_level,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\ml_models\xgboost_model.py,"58, 71, 132, 199, 706, 707, 1257","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_empty,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"72, 133, 712, 713","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_low_occupancy,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"73, 134, 719, 720","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_moderate_occupancy,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"74, 135, 727, 728","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_high_occupancy,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"75, 136, 742, 743","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_near_full,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\feature_pipeline.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"76, 137, 743, 750, 751, 839, 1704","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupancy_capacity_difference,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces; capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"80, 140, 762, 769, 821, 822, 824","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupancy_within_capacity,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces; capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"81, 141, 827, 828","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupancy_state_valid,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\occupancy_features.py,"82, 142, 833, 834","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
demand_level,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"188, 679, 687, 694, 948, 956, 960, 964, 968, 972, 976, 984, 1655, 1658, 1662, 1946, 1947, 2491","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
calculated_demand_level,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"694, 1662, 1947","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
demand_pressure,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"190, 702, 711, 1665, 1668, 1948, 2493","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
demand_excess_pressure,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"727, 1672, 1949","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
remaining_capacity_ratio,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"747, 1676, 1950, 2009, 2018, 2105","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
availability_pressure,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"192, 755, 762, 767, 768, 775, 776, 1679, 1686, 1952, 2011, 2019, 2126, 2495","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_low_availability,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"798, 1690","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_critical_availability,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,availability/available_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"805, 1694","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_full,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"846, 1708","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_zero_capacity,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"853, 1712","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_capacity_exceeded,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"860, 1716, 1903","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
demand_class,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\ml_models\xgboost_model.py,"59, 196, 200, 350, 870, 872, 878, 886, 898, 910, 922, 934, 939, 940, 957, 961, 965, 969, 973, 977, 983, 1341, 1517, 1518, 1719, 1722, 1726, 1954, 2269, 2336, 2499","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
demand_class_code,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"983, 1726, 1954","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_low_demand,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1051, 1732","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_moderate_demand,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1055, 1736","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_high_demand,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1059, 1740","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_very_high_demand,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1063, 1744","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
is_critical_demand,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,derived current demand state,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1067, 1748","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
occupancy_rate_consistent,current_state,current_state,REQUIRES_PRODUCTION_AVAILABILITY_CONFIRMATION,MEDIUM,CURRENT_OBSERVATION,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1100, 1754","Feature is derived from current parking state. It is not inherently temporally leaky, but the source observation must be available at T.","Document the real-time source, ingestion latency, freshness SLA, and fallback behaviour."
space_count_consistent,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1107, 1758",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
has_valid_capacity,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1119, 1762",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
has_valid_occupancy,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,occupancy/occupied_spaces,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1126, 1766",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
has_negative_values,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1136, 1770",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
has_capacity_violation,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,capacity/space counts,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1147, 1774",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
has_consistency_issue,other,other,REQUIRES_DOCUMENTATION,MEDIUM,UNRESOLVED,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\demand_features.py,"1154, 1778",Feature could not be conclusively mapped to a prediction-time source from static analysis.,Document production feature source and availability.
occupancy_rate_lag_30m,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_3h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_6h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_12h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_lag_1d,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_30m,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_3h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_6h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_12h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupied_spaces_lag_1d,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_30m,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_3h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_6h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_12h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
available_spaces_lag_1d,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,availability/available_spaces; capacity/space counts,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_mean_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,73,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_std_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,80,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_min_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,84,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_max_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,85,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_median_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,87,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_trend_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,92,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_count_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,89,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_missing_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,90,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_coverage_ratio_1h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_1h_available,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces; availability/available_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_mean_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,74,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_std_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,81,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_min_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
occupancy_rate_roll_max_2h,historical_lag,historical_lag,SAFE_IF_GENERATED_CAUSALLY,HIGH,HISTORICAL_OBSERVATIONS,occupancy/occupied_spaces,False,False,True,,,Historical feature is safe provided its window contains only observations at or before T.,Document lag/rolling window construction and production data availability.
